LANGUAGE,English,Czech,Comment

STRM_ONLOAD_MISSION,"Frontlines, central Kolguyev","","On load mission

STRM_14r01,"BAZA TO ALL UNITS. OPERATION SIBERIAN DOG BEGINS. TO ALL UNITS, PREPARE YOUR SQUADS AND WAIT FOR PLATOON YURI TO COMMENCE THE OFFENSIVE. THE ENEMY EXPECTS AN ATTACK AND FORTIFIED HIS POSITIONS BUT WE CAN ENDURE, COMRADES! GOOD LUCK TO YOU ALL, BAZA OUT.","",comment
STRM_14r02,"TATYANA TO YURI, WE'RE READY WHENEVER YOU ARE! LEAD THE CHARGE, OUT.","",comment
STRM_14r03,"COMRADES, TIME TO TEACH THOSE AMERICAN DOGS A LESSSON! I EXPECT ABSOLUTE BEST FROM EACH AND EVERYONE OF YOU! KEEP IN FORMATION AND SHOOT EVERYTHING THAT MOVES! GET READY, COMRADES, WE'RE GOING SOUTH!","",comment
STRM_14r04,"YURI TO ALL UNITS UNITS, WE'RE COMMENCING THE ATTACK. ANTON AND BORIS, GO IN! YURI AND TATYANA MOVING DOWN THE ROAD, CONTACT WITH THE ENEMY IMMINENT. OVER.","",comment
STRM_14r05,"ANTON TO YURI. WE'RE HEADING OUT. OUT.","",comment
STRM_14r06,"BORIS TO YURI, WE BEGIN OUR ATTACK AS WELL. SE YOU IN THE BASE, OUT.","",comment
STRM_14r07,"YURI TO ALL UNITS, ROAD IS CLEAR. WE'RE MOVING ON TO THE BASE. OUT.","",comment
STRM_14r08,"YURI TO ALL UNITS, THE BASE IS SECURE. ANTON AND BORIS, ASSUME DEFENSIVE POSITIONS. TATYANA AND YURI CONTINUE ON SOUTH. OUT.","",comment
STRM_14r09,"YURI TO TATYANA, ASSUME YOUR POSITION AND COVER OUR FLANK. WE'RE MOVING FURTHER SOUTH. OUT.","",comment
STRM_14r10,"YURI TO IVAN, WE'RE BEGINNING OUR DESCENT THROUGH THE VALLEY. COMMENCE YOUR ATTACK, OUT.","",comment
STRM_14r11,"IVAN TO YURI. UNDERSTOOD. ATTACK COMMENCED. OUT.","",comment
STRM_14r12,"IVAN TO YURI, THERE WAS AN ERROR IN THE INTEL, WE ARE OUTNUMBERED! THE ENEMY IS FORTIFIED AND HAS SO MUCH! WE CAN'T HOPE TO BREAKTHROUGH, IT'S FUTILE! WE HAVE TO RETREAT, I REPEAT, WE ARE RETREATING OUT!","",comment
STRM_14r13,"YURI TO IVAN, HOLD ON! IF YOU LEAVE WE ARE PINCERED BETWEEN ENEMY FORCES! YURI TO IVAN, DO YOU COPY? YURI TO IVAN, DO YOU READ? FUCK, IVAN'S OUT!","",comment
STRM_14r14,"YURI TO ALL UNITS, WE HAVE TO RETREAT BACK NORTH. WE CAN'T TAKE THE FINAL BASE FROM OUR POSITION. IF THE ENEMY HAS ENOUGH FORCES TO SMASH IVAN THEY WILL SOON BE UPON US AND WE'RE LIKE SITTING DUCKS HERE! WE'RE RETREATING, OUT.","",comment

STRM_MARKER_CROSSROADS1,"Tatyana","",crossroads
STRM_MARKER_CROSSROADS2,"Tatyana Position","",crossroads
STRM_MARKER_CROSSROADS3,"Crossroads","",crossroads
STRM_MARKER_VALLEY,"Valley","",valley
STRM_MARKER_ANTON,"Anton","",anton
STRM_MARKER_BORIS,"Boris","",boris
STRM_MARKER_ROAD,"Road","",road
STRM_MARKER_IVAN,"Ivan","",ivan
STRM_MARKER_ESCAPE,"Retreat","",retreat
