LANGUAGE,English,Czech,Comment

STRM_ONLOAD_MISSION,"On way to heliport","","On load mission

STRM_23v01,"To the left on the next crossroads and we're there!","",Koltsov
STRM_23v02,"Someone's excited.","",Ablomov
STRM_23v03,"More than that, I am exhilarated! Attack squadron, Nikolay, we did it!\nWe're finally done with transporting shit every day, now we get to rule the skies!","",Koltsov
STRM_23v04,"Those skies will be contested by the enemy. Transport duty was at least safe, you know. For the most part.","",Ablomov
STRM_23v05,"Of course, of course, we were fired at once and had a lot of time for vodka breaks. But the attack helicopters, friend!","",Koltsov
STRM_23v06,"I'm with you on that one, Appolit, the machine itself will be great to fly. Here's hoping for V-80.","",Ablomov
STRM_23v07,"That would be abso-fucking-lutely brilliant! I am pumped just thinking about it!","",Koltsov
STRM_23v08,"Do we know anything about the squadron commander, Syomin?","",Ablomov
STRM_23v09,"I heard he's a tough son of a bitch. One of the best fighter pilots in the army. Arrived two days ago with reinforcements.","",Koltsov
STRM_23v10,"Probably downed more aircraft than the rest of us combined. He also doesn't take any shit.\nI heard if you piss him off, he shoots you from the air.","",Koltsov
STRM_23v11,"A lovely man. Let's meet him then.","",Ablomov

STRM_23v12,"Comrades Ablomov and Koltsov, finally. I've heard of your exploits in the transports.\nI'm giving you a chance to show me what you can do in attack aircraft.","",Syomin
STRM_23v13,"I am colonel Syomin, welcome to my squadron. We were given two Mi24s for this mission.\nI presume you expected fancier model, like the V-80.\nPlace in that helicopter is earned and you can start with that today.","",Syomin
STRM_23v14,"Keep close behind me and follow orders. We're going behind enemy lines, watch out for AA.\nOur first target is armoured convoy. Let's move!","",Syomin

STRM_23r01,"ULYTANA TO FIREFLY, WE'RE TAKING OFF. HEADING NORTH ABOVE THE SEA THEN STRAIGHT FOR THE OBJECTIVE. OVER.","",Syomin
STRM_23r02,"FIREFLY TO UYALANA, UNDERSTTOD. YOU HAVE GREEN LIGHT. RETURN SAFELY. FIREFLY OUT.","",firefly
STRM_23r03,"MAN, I WAS REALLY HOPING FOR V-80. THIS THING FEELS ONLY LIKE A SLIGHT UPGRADE FROM THE TRANSPORT CHOPPERS.","",Koltsov
STRM_23r04,"DON'T WORRY, WE'LL GET THERE YET. FOCUS FOR NOW, WE MUST BE READY FOR ANYTHING. WE'RE IN THE FIRST LINE NOW!","",Ablomov
STRM_23r05,"FOLLOW ME. WE WANT TO APPROACH THE CONVOY FROM THE NORTH, FROM THE SEA.","",Syomin
STRM_23r06,"WEAPONS FREE, BLAST EVERYTHING TO SMITHEREENS!","",Syomin
STRM_23r07,"THE CONVOY WON'T BE GOING ANYWHERE ANYMORE. WE STRIKE THE BASE NOW.","",Syomin
STRM_23r08,"ULYANA TO FYODOR, WE'RE APPROACHING THE BASE FROM THE NORTH-WEST. WE'RE READY TO SUPPORT YOUR GROUND ATTACK. OVER.","",Syomin
STRM_23r09,"FYODOR TO ULYANA, UNDERSTOOD. WE'RE LOOKING FORWWARD TO IT. WE'RE STARTING THE ATTACK. OUT.","",FYODOR
STRM_23r10,"FYODOR TO ULYANA. THANKS FOR THE HELP. WE'LL TAKE IT FROM HERE. GOOD WORK. OUT.","",FYODOR
STRM_23r11,"YOU HEAD THEM BOYS. MISSION ACCOMPLISHED. THAT WASN;T BAD FOR PEOPLE FROM TRANSPORTS. I CAN MAKE SOMETHING OUT OF YOU YET. WE'RE GOING BACK TO THE HELIPORT. OUT.","",Syomin

STRM_MARKER_HELIPORT,"Heliport","".marker
STRM_MARKER_CONVOY,"Destroy Convoy","",marker
STRM_MARKER_BASE,"Destroy Armour","",marker
STRM_MARKER_FRIENDLIES,"Friendly Units","",marker
