LANGUAGE,English,Czech,Comment

STRM_ONLOAD_MISSION,"Heliport","",On load mission
STRM_ONLOAD_INTRO,"Next day, port","",On load mission

STRM_22v01,"Reinforcements are finally here. It's going to take a while for the army to regroup though.","",rashiv
STRM_22v02,"Still the most beautiful sight I have seen in a while. Almost brings tears to my eyes.","",yashin
STRM_22v03,"What's it like leading, anyway? The uniform suits you at the very least.","",yashin
STRM_22v04,"It feels right somehow. Like this is what I am supposed to do.","",rashiv
STRM_22v05,"With a father like yours I am not surprised. Comrade Lemontov couldn't have picked a better man for the job.","",yashin
STRM_22v06,"Thanks, Vadim. It actually means a lot to me. I just wish I could share this moment with my father.\nI hope he would be proud...","",rashiv
STRM_22v07,"Hey, comrades! Other squads are leaving, shouldn't you get to it too?","",ablomov
STRM_22v08,"We are going, don't worry!","",rashiv
STRM_22v09,"Comrades! The enemy knows about our reinforcements and plans to make one last major offensive to break us before we regroup!","",rashiv
STRM_22v10,"We are assigned to the central front. Our job is to make sure not a single American boot gets to the northern part of the island.","",rashiv
STRM_22v11a,"I am not one for grand speeches, just let me tell you this - give it your best, comrades.","",rashiv
STRM_22v11b,"Follow my lead, cover each other's back and stay sharp and focused. Let's fight like a unit so we can win as an army!","",rashiv
STRM_22v12,"Check your gear and get ready, comrades. It is time to turn the tide in this war!","",rashiv

STRM_22v13,"Get to the chopper, comrades!","",rashiv

STRM_22r01,"GOOD LUCK, LEONID!","",ablomov
STRM_22r02,"LEONID TO UNITS ON THE CENTRAL FRONT, WE'RE HERE. REPORT STATUS. OVER.","",rashiv
STRM_22r03,"IVAN TO LEONID. FULL STRENGTH INFANTRY SQUAD WAITING FOR YOUR ORDERS. OVER.","",ivan
STRM_22r04,"KONSTANTIN TO LEONID, WE'RE UNDERSTAFFED ANTI-TANK TEAM. OVER.","",konstantin
STRM_22r05,"YELENA TO LEONID, WE ARE VERY LOW ON NUMBERS BUT WE DO HAVE ONE BMP TO SUPPORT US. OVER.","",yelena
STRM_22r06,"RIGHT, EVERYONE, LISTEN UP. IVAN, WATCH THE BACK OF THE BASE. THE REST ARE GOING TO THE FRONT. KONSTANTIN YOU TAKE THE RIGHT FLANK, YELENA THE LEFT. WE'LL BE IN THE CENTER. STAY LOW AND DEFENSIVE, WE'LL BE HEAVILY OUTNUMBERED. HOPEFULLY ANY TANKS SHOULD RUN AFOUL OF THE MINEFIELD, WE DON'T EXPECT TOO MUCH BESIDES APCS. GET READY, COMRADES. OUT.","",rashiv

STRM_22r07,"BAZA TO LEONID, YOU SHOULD KNOW THAT THE ATTACK ON BOTH OUR COASTAL FRONTS HAS STARTED. EXPECT THE ENEMY ANY MOMENT NOW. BAZA OUT.","",baza

STRM_22r08,"BAZA TO LEONID. THE ENEMY IS SENDING IN PARATROOPERS. WATCH YOUR BACK AND FLANKS. BAZA OUT.","",baza

STRM_22r09,"LEONID TO BAZA, CENTRAL FRONT IS HOLDING AND THE ENEMY IS RETREATING. ANY NEW ORDERS? OVER.","",rashiv
STRM_22r10,"BAZA TO LEONID, THE ENEMY HAS BROKEN THROUGH IN THE EAST. HE'S ADVANCING FAST TO OUR BASE AND WILL SOON THREATEN OUR UNITS WITH ENCIRCLEMENT. MOVE TO THE EAST AND SUPPORT OUR UNITS. BAZA OUT.","",baza
STRM_22r11,"LEONID TO OTHERS. WATCH THE BASE IN CASE OF SOME MORE SURPRISES FROM THE ENEMY. I'M TAKING LEONID TO SUPPORT THE EASTERN FRONT. OUT.","",rashiv

STRM_22r12,"BAZA TO LEONID, WE ARE PREPARING LIGHT TANKS TO ADVANCE FROM THE COAST ALONG THE ROAD TO THE BASE. IT WILL TAKE SOME TIME, HOLD UNTIL THEY CAN GET TO YOU. BAZA OUT.","",baza

STRM_22r13,"BAZA TO ALL UNITS, THE ENEMY HAS BEEN REPELLED. WELL DONE, COMRADES. BAZA OUT.","",baza

STRM_22r14,"BAZA TO LEONID, THE ENEMY BROKE THROUGH THE CENTRAL FRONT. WHERE THE HELL HAVE YOU BEEN? GET BACK TO BASE SO THAT THE FIRING SQUAD CAN SHOOT YOU. BAZA OUT.","",baza
STRM_22r15,"BAZA TO LEONID, THE ENEMY BROKE THROUGH THE EASTERN FRONT. WE'LL HAVE TO RETREAT FURTHER NORTH. YOU COULDN'T HAVE TRIED A LITTLE HARDER? BAZA OUT.","",baza

STRM_MARKER_CENTRAL_FRONT,"Central Front","",marker
STRM_MARKER_EASTERN_FRONT,"Eastern Front","",marker
STRM_MARKER_WESTERN_FRONT,"Western Front","",marker
STRM_MARKER_CHOPPER,"Board Chopper","",marker

STRM_MARKER_MINES,"Minefield","",marker
STRM_MARKER_DEFENSE,"Support Eastern Front","",marker

STRM_WAYPOINT_HOLD,"HOLD CENTRAL FRONT","",waypoint
STRM_WAYPOINT_BREAKTHROUGH,"STOP THE ENEMY BREAKTHROUGH","",waypoint
